client_id,full_name,tax_registration_country,residential_address,registration_address,postal_address
34601_TEO,фл АНДРЕЕВИЧ JBR,RUS,['случайный адрес'],['случайный адрес'],null
46098_KVH,фл СЫСОЕВ GLA,USA,['случайный адрес'],['случайный адрес'],['случайный адрес']
58044_FUP,фл ОЛИМПИАДА PKG,RUS,['случайный адрес'],"операций,, процесс., ., , ( , Иран, заказчика.","закрываются., ( ,  ., КНДР, отмыванием, вам"
40293_ILR,фл ФАИНА PRR,null,['случайный адрес'],null,['случайный адрес']
27043_NUY,фл ТАИСИЯ JCE,IRN,['случайный адрес'],['случайный адрес'],['случайный адрес']
40644_TRH,фл ВЕРА RIZ,RUS,['случайный адрес'],['случайный адрес'],['случайный адрес']
39667_RQC,фл МАРИАН BQS,USA,null,null,null
30114_YGI,фл ОДИНЦОВА DGZ,RUS,null,['случайный адрес'],null
60304_UDB,фл МОРОЗОВ ULF,null,null,['случайный адрес'],"которые, ( , делами,,  ., случаях,, Иран"
33880_ZPT,фл АНТОНОВИЧ JDX,USA,null,null,"., задача,, заказчика., Северная Корея, ., , закрываются."
62378_LXO,фл ИГОРЕВНА SOO,IRN,null,null,null
61180_SJK,фл ЛИДИЯ EEJ,null,['случайный адрес'],"требований, непростая,  ., доходов,  ), Северная Корея"," ., требований, иными, Северная Корея, хакатоне, ( "
58853_DRX,фл ДАНИЛОВ HVX,null,null,"., раз, КНДР, поможет, ., клиенты",['случайный адрес']
21063_WXU,фл ЕКАТЕРИНА ENL,USA,['случайный адрес'],['случайный адрес'],null
56304_FUS,фл ЗАХАРЬЕВИЧ OLU,USA,['случайный адрес'],null,null
57997_MOX,фл АЛИНА JEA,IRN,['случайный адрес'],['случайный адрес'],null
27599_DDM,фл АРКАДИЙ UGS,IRN,['случайный адрес'],null,['случайный адрес']
51389_NOI,фл СОРОКИН VER,USA,['случайный адрес'],['случайный адрес'],"( , КНДР, в, себя,  ), раз"
64168_TLV,фл ПОНОМАРЕВА EHK,null,"КНДР, непростая,  ), В, ( , создать"," ),  ), роль, Северная Корея, Через, автоматизации","законов, автоматизации, .,  ), не, Северная Корея"
32427_XLX,фл ЛИХАЧЕВА CNB,null,['случайный адрес'],null,['случайный адрес']
27092_LEW,фл БОЛЬШАКОВА EAC,RUS,['случайный адрес'],"жизненно, ., ( , На, и, Северная Корея",['случайный адрес']
46678_LTV,фл ФОКИЧ COV,PRK,['случайный адрес'],['случайный адрес'],"вопросы, законов., заказчика., Северная Корея, ., ., "
41251_HUM,фл ЛИДИЯ NSG,USA,['случайный адрес'],['случайный адрес'],['случайный адрес']
34075_GLS,фл АФАНАСЬЕВИЧ FSA,RUS,['случайный адрес']," ), комплаенса., КНДР, на, не,  .",['случайный адрес']
58327_GIX,фл ЯКОВЛЕВНА RYV,USA,null,['случайный адрес'],"., ( , тематике, ГлоуБайта,, Иран, терроризма,"
61483_CDJ,фл ДАНИЛОВ UBO,null,null,['случайный адрес'],['случайный адрес']
52884_DFK,фл НОСОВА VUB,RUS,['случайный адрес'],"., Северная Корея, отмыванием, банков, ( , и",null
30776_IMB,фл АВДЕЙ NTV,RUS,"., всем, Иран, вам, соблюдения, ( ",null,['случайный адрес']
61250_VKU,фл ДОРОНИНА YYC,RUS,null,['случайный адрес'],['случайный адрес']
37636_YAW,фл ЗАХАРЬЕВИЧ NEN,RUS,null,"., , для, Северная Корея, протестировать, мы, ., ",['случайный адрес']
20049_OMY,фл НИКОЛАЕВНА OYO,RUS,null,['случайный адрес'],null
31394_HKX,фл ДМИТРИЕВА KCQ,IRN,['случайный адрес'],null,"задать, требования, КНДР, доходов,  .,  )"
18487_VNT,фл ЭМИЛЬ RSL,null,['случайный адрес'],null,"( , ( , КНДР, выполнения, непростая, если"
37057_UXM,фл ВАЛЕРЬЕВИЧ EEK,null,"сыграет, ., , таких, Иран,  ), проанализировать"," ., КНДР, занимаются, если, узнать, ., "," ., -, Иран,  ), это, и"
42674_HMK,фл РЕГИНА RNP,USA,null,"КНДР, ( , вам, ( , требования, узнать",['случайный адрес']
33930_RUS,фл СУВОРОВА XOZ,USA,['случайный адрес'],['случайный адрес'],['случайный адрес']
20721_VXZ,фл ДИМИТРИЕВИЧ KQV,RUS,"., ( , Иран, поможет, которая, мероприятии",null,['случайный адрес']
30210_NXP,фл ВАЛЕНТИНА POF,IRN,"., На, финансированием, Это, Иран, ., ",['случайный адрес'],['случайный адрес']
53554_RCL,фл АВГУСТОВИЧ YGZ,RUS,null,['случайный адрес']," ), Северная Корея, операций,, в, ., , не"
63433_WEG,фл ИВАННА YAA,USA,"лицензий, ., ., банки, роль, КНДР",['случайный адрес'],"., , занимаются, Иран, раз, ., предстоит"
37006_ILI,фл ОНУФРИЙ PNZ,PRK,['случайный адрес']," ), банк, мы, лицензий, Иран, ., ","( , На,  ), непростая, сыграет, Северная Корея"
30318_WHY,фл РОБЕРТОВНА AZF,null,['случайный адрес'],null,['случайный адрес']
59338_KVM,фл ВЕНИАМИНОВНА AVR,null,"этот, ., комплаенса.,  ), Это, Иран",null,['случайный адрес']
49101_TBY,фл ОЛИМПИАДА XNO,USA,['случайный адрес'],"., по, проходим, Рады,  ), КНДР",null
42312_FBY,фл ПОЛИКАРП EAJ,RUS,null,['случайный адрес'],['случайный адрес']
58513_BAG,фл ЯКОВ GXG,PRK,['случайный адрес'],null,"Северная Корея, таких, ., ,  ., sql-запроса, а"
46455_VQG,фл РОБЕРТОВНА VCK,RUS,null,null,null
25747_MCY,фл ПОПОВА TSU,PRK,['случайный адрес'],null,"Иран,  ), финансированием, протестировать, выявления, ."
33743_MGJ,фл КАПИТОН MXS,USA,['случайный адрес'],['случайный адрес'],null
25534_PZS,фл ВОРОНЦОВА PHT,RUS,"задать, клиенты., консультантов-экспертов, ., , Северная Корея, ., ",['случайный адрес'],['случайный адрес']
32546_UEI,фл АВГУСТОВИЧ JUX,USA,"Северная Корея, требуется, случаях,,  ), на, ( ","а, сценарий,  ), Иран,  ., ГлоуБайта,",null
65207_PYO,фл КАБАНОВА JVK,USA,null,null,null
53173_XJY,фл КОНСТАНТИНОВНА WFQ,USA,null,['случайный адрес'],"., пройдя,  ), техническое, КНДР, которые"
51706_FPV,фл ХАРЛАМОВИЧ QQB,null,['случайный адрес'],['случайный адрес'],['случайный адрес']
33603_GSH,фл ЮРЬЕВНА BOD,null,"КНДР, которая, операции,  .,  ), консультантов-экспертов",['случайный адрес'],null
65340_RUU,фл ИСАЕВ SDR,USA,['случайный адрес'],['случайный адрес'],"Иран, ., , со, ., , законов, банки"
54695_OBN,фл ПАНФИЛ ZTO,null,['случайный адрес'],['случайный адрес'],"вам, Северная Корея, на, банком, ., ., "
44461_RBQ,фл ВЕРА FHK,null,null,['случайный адрес'],['случайный адрес']
54626_AKM,фл ФАИНА IMT,null,null," ., каждый, Иран, клиенты., ( , выявления","заказчику,,  ), КНДР, ., , непростая, Потребуется"
42559_LJX,фл ИЗЯСЛАВ KCN,RUS,['случайный адрес'],"КНДР, ., , ., , по-своему., команда, ежедневно",['случайный адрес']
40107_LDE,фл БОЛЬШАКОВА TMF,RUS,['случайный адрес'],null,['случайный адрес']
30757_NQQ,фл БЕНЕДИКТОВИЧ QFQ,RUS,['случайный адрес']," ), ПОД/ФТ, тебя,  ), на, Северная Корея",['случайный адрес']
25449_XUM,фл ЮРЬЕВНА GBU,null,null,null,null
49776_VPI,фл ВАЛЕНТИНА ROC,PRK,['случайный адрес'],null,['случайный адрес']
48727_GYH,фл НАУМОВНА LJI,null,"по,  ., ( , банки, не, КНДР",null,['случайный адрес']
22341_LTO,фл МАМОНТОВА UEJ,IRN,['случайный адрес'],"каждый, Иран, жизненно, приветствовать,  ),  )",['случайный адрес']
19471_RIM,фл ВЕРА QLY,null,"Иран,  ), -, трактует, консультантов-экспертов, .",null,['случайный адрес']
23569_IMJ,фл РОЖКОВ FJT,RUS,['случайный адрес'],null,null
26400_GHP,фл РУДОЛЬФОВНА CBY,USA,".,  ), заказчика., sql-запроса, Иран, подозрительных",['случайный адрес'],"( , ( , по, Потребуется, КНДР, это"
57504_WON,фл ЭМИЛЬ WVA,null," ., Северная Корея, ., -, законов., ведь",['случайный адрес'],['случайный адрес']
26868_EGK,фл ВАЛЕРИЕВНА HMI,null,['случайный адрес'],null,null
60980_OGM,фл СОРОКИН FOT,USA,"его., ( , Иран, ., , автоматизации, автоматизации",['случайный адрес']," ., бизнес, проверок., выявления,  ., Иран"
44050_SLA,фл ИЗЯСЛАВ MSD,null,['случайный адрес'],['случайный адрес'],null
55470_HKG,фл ЖУРАВЛЕВ JXN,USA,['случайный адрес'],['случайный адрес'],null
20547_RJO,фл ВАСИЛИСА EHU,null,['случайный адрес'],"( ,  ), выполнения, выявления, Иран, их","КНДР, таких, ., , ( , терроризма,, волнуйтесь,"
41600_IZO,фл УЛЬЯНА BRA,null,null,"., процесс., КНДР, требуется,  ., -",null
41393_JLH,фл ЕРМАКОВА RRX,null,"( ,  ., клиенты., сыграет, Северная Корея, законов",['случайный адрес'],null
55436_FSI,фл АЛЕКСЕЕВИЧ WAW,PRK,"мы, ., операций,,  ., Северная Корея, эту",['случайный адрес'],null
47058_TYR,фл НАЗАРОВ GJZ,PRK,['случайный адрес'],null,null
51060_ETH,фл ХАРИТОНОВНА XMP,PRK,null,null,['случайный адрес']
